degree_id,degree_name,degree_code,created_at
239,Bachelor of Arts/Bachelor of Applied Innovation,BB-ARTAIN,2026-02-22 11:50:04.268711+00
240,Graduate Diploma of Psychology,GD-PSYS,2026-02-22 11:50:04.268711+00
241,Graduate Certificate of Programming and Development,GC-PDS,2026-02-22 11:50:04.268711+00
242,Master of Business,Research,2026-02-22 11:50:04.268711+00
243,Master of Counselling,Advanced,2026-02-22 11:50:04.268711+00
244,Diploma of Justice,22594VIC,2026-02-22 11:50:04.268711+00
245,Bachelor of Business Information Technology,Professional,2026-02-22 11:50:04.268711+00
246,Maths Link Methods,NN-MLMTH,2026-02-22 11:50:04.268711+00
248,Diploma of Information Technology,ICT50220,2026-02-22 11:50:04.268711+00
249,Master of Business Information Systems,MA-BIS,2026-02-22 11:50:04.268711+00
250,Bachelor of Laws,BA-LAW,2026-02-22 11:50:04.268711+00
252,Bachelor of Film and Television,Honours,2026-02-22 11:50:04.268711+00
253,Diploma of Work Health and Safety,BSB51319,2026-02-22 11:50:04.268711+00
254,Diploma of Early Childhood Education and Care,CHC50121,2026-02-22 11:50:04.268711+00
255,Bachelor of Animation,BA-ANI,2026-02-22 11:50:04.268711+00
256,Master of Arts,Research,2026-02-22 11:50:04.268711+00
257,Master of Social Impact,MA-SI,2026-02-22 11:50:04.268711+00
258,Bachelor of Engineering Technology,BA-ENGTEC,2026-02-22 11:50:04.268711+00
259,Graduate Certificate of Marketing,GC-MKT,2026-02-22 11:50:04.268711+00
260,Bachelor of Laws/Bachelor of Criminal Justice and Criminology,BB-LAWCRJ,2026-02-22 11:50:04.268711+00
261,Psychosocial Recovery Coach Short Course,NC-HEAS02,2026-02-22 11:50:04.268711+00
263,Master of Project Management,MA-PM1,2026-02-22 11:50:04.268711+00
264,Bachelor of Arts,BA,2026-02-22 11:50:04.268711+00
266,Bachelor of Health Science/Bachelor of Science,BB-HSCSCI,2026-02-22 11:50:04.268711+00
268,Certificate IV in Youth Work,CHC40413,2026-02-22 11:50:04.268711+00
269,Associate Degree of Engineering,AB-ENG,2026-02-22 11:50:04.268711+00
271,Plumbing Licence for Common Units Skill Set,PLUMLICSS1,2026-02-22 11:50:04.268711+00
273,Master of Cyber Security Management,MA-CYMGTS,2026-02-22 11:50:04.268711+00
274,Graduate Diploma of Project Management,GD-PMS,2026-02-22 11:50:04.268711+00
275,Graduate Certificate in Forensic Behavioural Science,GC-FBS,2026-02-22 11:50:04.268711+00
276,Graduate Diploma of Environmental Health Practice,GD-ENVHP,2026-02-22 11:50:04.268711+00
277,Certificate II in Building and Construction Pre-apprenticeship – Bricklaying,22338VIC,2026-02-22 11:50:04.268711+00
278,Microsoft Excel Advanced,EXCCIS,2026-02-22 11:50:04.268711+00
280,Bachelor of Criminal Justice and Criminology,BA-CRIJUSS,2026-02-22 11:50:04.268711+00
282,Bachelor of Business Analytics and Analysis/Bachelor of Applied Innovation,BB-BAAAIN,2026-02-22 11:50:04.268711+00
285,Graduate Certificate of Supply Chain Innovation,GC-SCI,2026-02-22 11:50:04.268711+00
286,Industrial Training Course: PSS®E Module 1,SH-PSSEM01,2026-02-22 11:50:04.268711+00
